Gene Symbol	Annotation
Mgat4b:Slc30a1	GP
Mgat4b:Slc35c1	GP
Mgat4b:UGP2	GP
Mgat4b:Clasrp	GP
Mgat4b:Gabrb2	GP
Mgat4b:Vps35l	GP
Mgat4b:Ccdc93	GP
Mpi:Osbpl9	GP
Mpi:Pik3r4	GP
Mpi:Rabif	GP
Mpi:Slc10a7	GP
Mpi:Slc25a53	GP
Mpi:Slc30a1	GP
Mpi:Slc35c1	GP
Mpi:UGP2	GP
Mpi:Clasrp	GP
Mpi:Gabrb2	GP
Mpi:Vps35l	GP
Mpi:Ccdc93	GP
Osbpl9:Pik3r4	GP
Osbpl9:Rabif	GP
Osbpl9:Slc10a7	GP
Osbpl9:Slc25a53	GP
Osbpl9:Slc30a1	GP
Osbpl9:Slc35c1	GP
Osbpl9:UGP2	GP
Osbpl9:Clasrp	GP
Osbpl9:Gabrb2	GP
Osbpl9:Vps35l	GP
Osbpl9:Ccdc93	GP
Pik3r4:Rabif	GP
Pik3r4:Slc10a7	GP
Pik3r4:Slc25a53	GP
Pik3r4:Slc30a1	GP
Pik3r4:Slc35c1	GP
Pik3r4:UGP2	GP
Pik3r4:Clasrp	GP
Pik3r4:Gabrb2	GP
Pik3r4:Vps35l	GP
Pik3r4:Ccdc93	GP
Rabif:Slc10a7	GP
Rabif:Slc25a53	GP
Rabif:Slc30a1	GP
Rabif:Slc35c1	GP
Rabif:UGP2	GP
Rabif:Clasrp	GP
Rabif:Gabrb2	GP
Rabif:Vps35l	GP
Rabif:Ccdc93	GP
Slc10a7:Slc25a53	GP
Slc10a7:Slc30a1	GP
Slc10a7:Slc35c1	GP
Slc10a7:UGP2	GP
Slc10a7:Clasrp	GP
Slc10a7:Gabrb2	GP
Slc10a7:Vps35l	GP
Slc10a7:Ccdc93	GP
Slc25a53:Slc30a1	GP
Slc25a53:Slc35c1	GP
Slc25a53:UGP2	GP
Slc25a53:Clasrp	GP
Slc25a53:Gabrb2	GP
Slc25a53:Vps35l	GP
Slc25a53:Ccdc93	GP
Slc30a1:Slc35c1	GP
Slc30a1:UGP2	GP
Slc30a1:Clasrp	GP
Slc30a1:Gabrb2	GP
Slc30a1:Vps35l	GP
Slc30a1:Ccdc93	GP
Slc35c1:UGP2	GP
Slc35c1:Clasrp	GP
Slc35c1:Gabrb2	GP
Slc35c1:Vps35l	GP
Slc35c1:Ccdc93	GP
UGP2:Clasrp	GP
UGP2:Gabrb2	GP
UGP2:Vps35l	GP
UGP2:Ccdc93	GP
Clasrp:Gabrb2	GP
Clasrp:Vps35l	GP
Clasrp:Ccdc93	GP
Gabrb2:Vps35l	GP
Gabrb2:Ccdc93	GP
Vps35l:Ccdc93	GP
Aadac:Aadac	GP
B4galt1:B4galt1	GP
Cers2:Cers2	GP
Dcps:Dcps	GP
Denr:Denr	GP
Elovl1:Elovl1	GP
Fut8:Fut8	GP
Golph3:Golph3	GP
Hsd17b12:Hsd17b12	GP
Mgat2:Mgat2	GP
Mgat3:Mgat3	GP
Mgat4b:Mgat4b	GP
Mpi:Mpi	GP
Osbpl9:Osbpl9	GP
Pik3r4:Pik3r4	GP
Rabif:Rabif	GP
Slc10a7:Slc10a7	GP
Slc25a53:Slc25a53	GP
Slc30a1:Slc30a1	GP
Slc35c1:Slc35c1	GP
UGP2:UGP2	GP
Clasrp:Clasrp	GP
Gabrb2:Gabrb2	GP
Vps35l:Vps35l	GP
Ccdc93:Ccdc93	GP
