Gene Symbol	Annotation
MED12:VIM	GP
MED12:WTIP	GP
MED12:ZYG11A	GP
METAP1:BTK	GP
MTOR:DICER1	GP
MYB:EXT1	GP
MYBL2:SH2B3	GP
NCOR1:NCOR2	GP
NFE2L3:DAXX	GP
NUP160:LATS1	GP
ORC1:CASP8	GP
PABPC1:BMP8A	GP
PABPC1:BMP8B	GP
PABPC1:NFYC	GP
PABPC1:PABPC4	GP
PGS1:BAP1	GP
PPP2CA:LEPROTL1	GP
PPP2CA:WRN	GP
PRKAR1A:CRYBG2	GP
PRKAR1A:C1orf116	GP
PRKAR1A:BICDL1	GP
PRKAR1A:CTNND1	GP
PRKAR1A:CTTN	GP
PRKAR1A:DDR1	GP
PRKAR1A:ERBB3	GP
PRKAR1A:FAM83H	GP
PRKAR1A:FAM83H-AS1	GP
PRKAR1A:FGD4	GP
PRKAR1A:FGFBP1	GP
PRKAR1A:FRK	GP
PRKAR1A:FXYD3	GP
PRKAR1A:HSBP1L1	GP
PRKAR1A:LAD1	GP
PRKAR1A:MARVELD2	GP
PRKAR1A:MYH14	GP
PRKAR1A:PLEKHH1	GP
PRKAR1A:PPL	GP
PRKAR1A:NECTIN4	GP
PRKAR1A:SPTBN2	GP
PRKAR1A:SRC	GP
PSMB5:B2M	GP
PSMB5:BTK	GP
PSMB5:CASP8	GP
RBM10:ALAS1	GP
RBM10:EDEM1	GP
RBM10:PHF7	GP
RBM10:PXK	GP
RBM10:RAD54L2	GP
RBM10:RBM15B	GP
RBM10:TOP2B	GP
RHOA:C9orf152	GP
RHOA:CGN	GP
RHOA:MISP3	GP
RHOA:ERBB3	GP
RHOA:FAAH2	GP
RHOA:FOXA3	GP
RHOA:PRR15L	GP
RPL5:CCN1	GP
RPL5:DIPK1A	GP
SDHB:DSE	GP
SDHB:MMP2	GP
SMARCA4:SQOR	GP
SNRPB2:LEPROTL1	GP
SNRPB2:SMARCE1	GP
SNRPB2:WRN	GP
SRFBP1:SDHD	GP
STK11:FNBP1L	GP
TRA2B:PMS2	GP
TSC2:RTL8B	GP
TSC2:FKBP10	GP
TSC2:ITGA11	GP
TUBB4B:DAXX	GP
TUBB4B:DCC	GP
TUBB4B:FANCE	GP
UBA6:BTK	GP
UBC:FLCN	GP
UBC:NCOR1	GP
WDR77:CDKN2A	GP
ZEB2:CDH1	GP
ZEB2:ELF3	GP
MDM2:CDKN2A	GP
PRMT5:CDKN2A	GP
RIOK1:CDKN2A	GP
GRHL2:LEPROTL1	GP
LEMD2:LEPROTL1	GP
GRHL2:WRN	GP
WRN:KRBOX4	GP
WRN:MLH1	GP
WRN:TTC37	GP
SGK1:PDPK1	GP
PLK4:RPS6KA3	GP
